disasterNumber,,FederalFunded,ProjectAmount
4352,SEVERE STORMS AND FLOODING,8030606.74,8918999.71
1789,HURRICANE GUSTAV,7955261.42,10423192.35
4107,SEVERE WINTER STORM AND SNOWSTORM,7929498.13,10493204.48
1759,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW,7826995.83,10431933.72
4171,SEVERE WINTER STORM,7771590.83,9839365.93
4011,FLOODING,7757048.18,10303263.82
4234,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",7750272.04,10203816
1862,SEVERE STORMS AND FLOODING ASSOCIATED WITH TROPICAL DEPRESSION IDA AND A NOR'EAST,7711083.63,10177129.98
4336,HURRICANE IRMA,7649018.5,9601152.61
1890,SEVERE WINTER STORMS AND SNOWSTORMS,7638439.83,10184896.65
1916,"SEVERE STORMS, TORNADOES, AND FLOODING",7616372.1,8460723.26
1983,FLOODING,7596367.82,10058544.98
4119,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",7594458.33,10046486.14
4221,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",7542561.86,10039649.7
4004,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES",7427467.35,9823754.68
4220,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",7386429.19,9831768.71
1932,"SEVERE STORMS, FLOODING, AND TORNADOES",7384786.3,9810416.45
1908,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",7358685.38,9748973.09
4010,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",7283728.86,9760671.76
3376,FLOODING,7262388.04,9592930.7
1989,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",7221515.88,9613699.34
4153,"SEVERE STORMS, FLOODING, LANDSLIDES, MUDSLIDES",7206937.05,9534993.62
4118,FLOODING,7182175.06,9501642.14
1888,SEVERE WINTER STORMS AND FLOODING,7143370.6,9461533.27
3259,#N/A,7133650.1,8202734.1
4005,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND",7132344.9,9438855.2
3286,RECORD SNOW AND NEAR RECORD SNOW,7122145.99,9481809.34
1978,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",7041838.42,9375389.26
4033,SEVERE STORMS AND FLOODING,7037295.1,9330912.89
4279,SEVERE STORM AND FLOODING,6926773.45,9124946.21
4059,"SEVERE STORMS, TORNADOES, FLOODING, MUDSLIDES, AND LANDSLIDES",6904030.53,9190205.54
1892,SEVERE WINTER STORM,6841093.22,9121385.5
4015,FLOODING,6797638.86,8976816.04
4253,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, MUDSLIDES, AND A T",6709357.33,8768876.81
4082,HURRICANE ISAAC,6678561.12,8834408.89
4134,BLACK FOREST WILDFIRE,6617742.08,8818357.72
4090,HURRICANE SANDY,6615076.59,8816041.59
1878,SEVERE WINTER STORMS AND SNOWSTORM,6577021.37,8742296.72
1940,SEVERE STORMS AND FLOODING,6556225.54,8688654.35
1854,SEVERE STORM,6484641.68,8602319.42
4169,SEVERE WINTER STORM,6438008.89,8346283.98
1917,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",6414974.86,8520578.07
1967,TSUNAMI WAVES,6369092.24,8433859.98
1772,SEVERE STORMS AND FLOODING,6361368.91,8433780.94
4163,SEVERE WINTER STORMS,6342340.95,8267850.25
1863,"SEVERE STORMS, TORNADOES, AND FLOODING",6310528.42,8355910.66
4140,SEVERE STORMS AND FLOODING,6296981.81,8335872.97
1855,"SEVERE STORMS, STRAIGHT-LINE WINDS AND FLOODING",6277778.64,8141919.92
3362,EXPLOSIONS,6195205.8,8245530.47
4290,SEVERE STORMS AND FLOODING,6190615.38,8180294.51
4105,SEVERE WINTER STORM AND SNOWSTORM,6153471.49,8194417.02
4242,SEVERE WINDSTORM,6150221.43,7992232.9
1803,"SEVERE STORMS, TORNADOES, AND FLOODING",6149283.51,8144464.48
1821,SEVERE WINTER STORM AND FLOODING,6143015.93,8158253.19
1836,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",6100444.28,8037959.11
4287,SEVERE STORMS AND FLOODING,6088636.41,8041492.26
3142,#N/A,6074829.75,8099773
4310,SEVERE WINTER STORMS AND FLOODING,6039914.76,8029869.31
3261,#N/A,6039850.49,6038369.51
4197,SEVERE STORMS AND FLOODING,6027956.13,7940421.05
3203,#N/A,6023319.52,8052178.93
1925,"SEVERE STORMS, FLOODING, AND MUDSLIDES",6010738.74,8014317.04
1877,SEVERE WINTER STORMS AND SNOWSTORM,5996437.44,7931032.25
3269,#N/A,5964486.44,7977151.76
3171,#N/A,5951301.1,5951301.1
1797,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE IKE,5940451.74,7779193.98
1986,SEVERE WINTER STORM,5934923.13,7905925.17
4148,SEVERE STORMS AND FLOODING ,5933388.77,7691014.02
4141,"SEVERE STORMS, FLOODING, AND MUDSLIDES",5929850.42,7778668.02
4139,"SEVERE STORMS, TORNADOES, AND FLOODING",5903017.87,7858160.18
3185,#N/A,5873368.71,7829976.61
1906,"SEVERE STORMS, TORNADOES, AND FLOODING",5861843.01,6491004.42
4203,SEVERE STORMS AND FLOODING,5830990.55,7622096.57
1811,SEVERE WINTER STORM AND RECORD AND NEAR RECORD SNOW,5825275.23,7760668.09
4181,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",5810089.55,7631998.68
1893,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES",5802632.98,7787673.3
4196,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",5773235.99,7590480.34
4041,TROPICAL STORM LEE,5744356.87,7592490.75
4016,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",5743591.77,7718310.96
4281,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",5730801.26,7650547.61
3252,#N/A,5722098.57,5722098.57
4200,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",5710162.12,7532820.85
4102,SEVERE STORMS AND FLOODING,5662893.43,7518008.6
1918,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES",5659644.93,7542376.51
1965,"SEVERE STORMS, TORNADOES, AND FLOODING",5614462.32,7462703.15
1964,TSUNAMI WAVE SURGE,5611823.23,7420456.73
4160,SEVERE WINTER STORM,5587008.61,7215493.28
4189,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",5586479.78,7173688.4
3197,#N/A,5569739,7446449.25
4248,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",5543015.89,7194737.68
3241,#N/A,5542196.27,5542196.27
3112,#N/A,5497901.19,7330534.79
4007,"SEVERE STORMS, FLOODING, AND LANDSLIDES",5477828.79,7283860.16
1840,"SEVERE STORMS, FLOODING, TORNADOES, AND STRAIGHT-LINE WINDS",5428044.9,7169672.79
3330,HURRICANE IRENE,5366361.92,7156414.23
1844,SEVERE STORMS AND FLOODING,5301081.25,7044186.36
1891,SEVERE WINTER STORM,5295215.58,7059992.81
4313,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",5273855.76,6966339.91
3186,#N/A,5223220.57,6966522.14
3335,HURRICANE IRENE,5191261.4,6920668.16
3233,#N/A,5141771.19,5141771.19
3132,#N/A,5138898.87,6851865.04
3163,#N/A,5138626.73,6852025.74
4045,THE REMNANTS OF TROPICAL STORM LEE,5135398.21,6812061.63
1864,SEVERE WINTER STORM,5125804.16,6830735.29
4327,FLOODING,5094601.43,6794977.51
3283,RECORD SNOW AND NEAR RECORD SNOW,5046066.37,6718281.23
1744,"SEVERE STORMS, TORNADOES, AND FLOODING",5020005.7,6634432.41
1935,SEVERE STORMS AND FLOODING,5010717.42,6660411.93
3254,#N/A,4996203.01,6677075.61
4343,"SEVERE STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUD",4996016.07,6652021.48
4194,TROPICAL STORM ISELLE,4982684.64,6275065.13
1740,SEVERE STORMS AND FLOODING,4976848.47,6579323.87
4209,SEVERE WINTER STORM AND SNOWSTORM,4939214.76,6532335.47
4323,FLOODING,4919609.18,6560794.87
4058,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",4896874.71,6504167.76
4063,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4883032.82,6547840.7
4185,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",4873269.34,6419050.53
3309,FLOODING,4872449.38,6476932.76
1970,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",4871305.3,6445429.73
1919,SEVERE STORMS AND FLOODING,4867408.93,6418952.24
1834,SEVERE STORMS AND TORNADOES,4867137.46,6441458.07
4121,FLOODING ,4840529.02,6419335.98
4050,SEVERE WINTER STORMS AND FLOODING,4826785.92,6423829.47
4319,"SEVERE WINTER STORM, SNOWSTORM, STRAIGHT-LINE WINDS, AND FLOODING",4787592.26,6136692.44
3157,#N/A,4780999.12,6374665.05
1746,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND",4765349.85,6241569.28
3189,#N/A,4726060.56,6304257.17
1774,SEVERE STORMS AND FLOODING,4716310.17,6268522.3
4278,"SEVERE STORM, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",4667468.23,6172027.4
1801,TROPICAL STORM HANNA,4657982,6160032.54
1963,"SEVERE WINTER STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",4630131.41,6173508.33
1790,SEVERE STORMS AND FLOODING,4570622.52,6080945.06
4135,"SEVERE STORMS, TORNADOES, AND FLOODING",4551830.57,6037247.05
3155,#N/A,4549306.37,6065741.82
1839,"SEVERE STORMS, TORNADOES, AND FLOODING",4546528.04,6043965.7
1853,"SEVERE STORMS, FLOODING, AND TORNADOES",4491366.48,5978147.3
3136,#N/A,4453679.06,5938238.05
4216,"SEVERE WINTER STORMS, SNOWSTORMS, FLOODING, LANDSLIDES, AND MUDSLIDES ",4438903.71,5872676.41
1938,SEVERE STORMS AND FLOODING,4426139.2,5891850.86
3117,#N/A,4357979.25,5810639
4154,SEVERE WINTER STORM,4337765.5,5714999.67
1764,SEVERE STORMS AND TORNADOES,4330036.43,5425879.32
4224,TYPHOON DOLPHIN,4318133.91,5718336.47
3230,#N/A,4294561.82,4294561.82
4101,"SEVERE STORMS, TORNADOES, AND FLOODING",4294424.33,5717334.28
4061,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANSLIDES",4261453.3,5671342.84
3154,#N/A,4231537.88,4810629.25
1866,TROPICAL STORM IDA,4228940.04,5547017.34
4018,SEVERE STORMS AND FLOODING,4132709.44,5463291.78
4067,HIGH PARK AND WALDO CANYON WILDFIRES,4046793.01,5388309.35
4244,SEVERE STORM,4045956.31,5351019.41
3116,#N/A,4030768.05,5374357.15
3363,EXPLOSION,4019821.87,5917197.08
1944,SEVERE STORMS AND FLOODING,4019463.94,5346632.59
4039,REMNANTS OF TROPICAL STORM LEE,4007617.71,5323064.62
4044,EARTHQUAKE,3995523.23,5327364.23
1956,"SEVERE WINTER STORM, FLOODING, MUDSLIDES, LANDSLIDES, AND DEBRIS FLOWS",3990138.12,5272158.81
1769,"SEVERE STORMS, TORNADOES, FLOODING, MUDSLIDES, AND",3985862.62,5299728.86
1988,SEVERE STORMS AND FLOODING,3981421.81,5265645.55
4164,SEVERE WINTER STORM,3976954.92,5164184.4
1865,"SEVERE STORMS, FLOODING, MUDSLIDES, AND ROCKSLIDES",3950737.77,5231604.93
1937,SEVERE STORMS AND FLOODING,3950567.97,5251444.56
4207,SEVERE WINTER STORM,3949092.78,5158630.56
1842,"SEVERE STORMS, TORNADOES, FLOODING, AND STRAIGHT-LINE WINDS",3945262.25,5192469.28
3115,#N/A,3907406.63,3907406.63
4324,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",3892623.84,5152345.37
1793,SEVERE STORMS AND FLOODING ASSOCIATED WITH HURRICANE GUSTAV,3892240.53,5185200.11
3235,#N/A,3886088.88,3886088.88
4293,WILDFIRES,3831876.26,5105284.59
3206,#N/A,3805768.99,5074358.16
4334,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",3738657.31,4968325.54
3220,#N/A,3694456.29,3694456.29
1787,SEVERE STORMS AND FLOODING,3673097.45,4895728.69
1990,SEVERE STORMS AND TORNADOES,3548610.44,4684223.92
1882,SEVERE WINTER STORM AND SNOWSTORM,3536705.06,4715606.65
1750,SEVERE STORMS AND TORNADOES,3505637.41,4688493.22
1757,"SEVERE STORMS, TORNADOES, FLOODING, MUDSLIDES, AND LANDSLIDES",3499571.24,4681079.25
1985,SEVERE WINTER STORM AND SNOWSTORM,3490382.1,4617398.62
3162,#N/A,3488222.44,4650962.97
3144,#N/A,3480450.87,4678456.95
3143,#N/A,3471086.79,4645660
3207,#N/A,3444430.41,4608114.62
3278,#N/A,3436567.96,4594090.73
3183,#N/A,3421041.46,4568280.09
4103,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3397380.52,3772667.1
1926,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",3383812.1,4473785.18
4282,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3372503.81,4133576.1
1808,"SEVERE STORMS, FLOODING, AND TORNADOES",3364325.1,4447932.43
4014,"SEVERE STORMS, TORNADOES, STRAIGHT LINE WINDS, AND FLOODING",3362468.45,4477342.64
1767,SEVERE WINTER STORM,3346388.88,4471525.67
4049,SEVERE STORM AND SNOWSTORM,3337545.64,4446841.16
3141,#N/A,3322083.95,4429445.2
4311,SEVERE WINTER STORMS AND FLOODING,3311238.16,4405156.51
1903,SEVERE WINTER STORMS AND SNOWSTORMS,3302658.43,4404089.02
4302,SEVERE WINTER STORM,3296420.33,3658077.57
4132,SEVERE STORMS AND FLOODING,3283729.69,4375137.16
4345,TROPICAL STORM HARVEY,3283241.42,4383352.25
3166,#N/A,3268895.56,4358527.2
3164,#N/A,3239432.02,4319242.26
4275,TORNADO,3236435.63,4350212.08
4062,"SEVERE STORMS, FLOODING, AND LANDSLIDES",3179371.91,4186682.85
1860,SEVERE STORMS AND FLOODING,3143581.09,4162559.76
4096,HURRICANE SANDY,3119810.75,4159747.63
4108,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",3114956.97,4152643.16
1902,"SEVERE STORMS, ICE JAMS, AND FLOODING",3112391.72,4134085.23
3209,#N/A,3101870.31,4135826.7
4065,SEVERE STORM AND FLOODING,3039192.36,4049202.56
4233,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",3035929.15,3952217.53
1752,"SEVERE STORMS, TORNADOES, AND FLOODING",3020576.08,4010102.96
1928,SEVERE STORMS AND FLOODING,3008481.95,3992091.69
1923,FLOODING,3004023.04,3995482.25
3153,#N/A,2989368.24,3985824.02
1755,SEVERE STORMS AND FLOODING,2984256.53,4268948.14
3138,#N/A,2983356.46,3977808.21
4205,SEVERE STORMS AND TORNADOES,2967657.47,3817821.52
3306,EXPLOSIONS AND FIRE ,2961508.24,3916579.85
1881,SEVERE WINTER STORM AND SNOWSTORM,2944843.15,3928018.38
3237,#N/A,2942630.82,2942630.82
1987,"FLOODING, LANDSLIDES, AND MUDSLIDES",2926897.38,3868176.27
4064,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2923032.72,3866753.92
4325,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",2915891.78,3747335.92
1852,"SEVERE STORMS, FLOODING, AND LANDSLIDES",2915456.44,3886840.25
4073,SEVERE STORMS ,2914288.63,3885718.1
4035,FLOODING ,2900592.12,3873961.87
1739,SEVERE WINTER STORM,2895288.73,3859012.64
4350,HURRICANE NATE,2881941.39,3842588.45
4328,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2869842.66,3806236.79
4083,"SEVERE STORM, STRAIGHT-LINE WINDS, AND FLOODING",2860240.58,3792397.7
1939,HURRICANE EARL,2854973.61,3782533.3
4127,FLOODING ,2774452.64,3692993.49
3275,#N/A,2726554.09,3634254.39
1977,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",2702114.08,3611635.87
3262,#N/A,2678826.75,2678826.75
1758,"SEVERE STORMS, FLOODING, AND TORNADOES",2676958.28,3564491.27
4156,"SEVERE STORMS, WINTER STORMS, TORNADOES AND FLOODING",2670513.58,3587337.86
4000,"SEVERE STORMS, TORNADOES, AND FLOODING",2663059.78,3593974.7
1788,"SEVERE STORMS, FLOODING, AND TORNADOES",2660766.77,3547342.44
4208,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",2646632.26,3520215.83
1837,"SEVERE STORMS, FLOODING, AND TORNADOES",2643437.02,3517001.86
1743,"SEVERE STORMS, HIGH SURF, FLOODING, AND MUDSLIDES",2629570,3472117.28
4202,SEVERE STORMS AND FLOODING,2609363.36,3432384.07
3114,#N/A,2593376.7,3457835.59
4246,SEVERE STORM AND STRAIGHT-LINE WIND,2592294.32,3415559.27
3195,#N/A,2582255.18,3453359.47
4053,SEVERE STORM,2564683.72,4027626.48
4008,"SEVERE STORMS, TORNADOES, AND FLOODING",2563053.62,3372622.12
1804,TROPICAL STORM IKE,2543014.21,3388820.38
4274,SEVERE STORMS AND FLOODING,2517350.03,3338353.76
1927,SEVERE STORMS AND FLOODING,2515039.14,3309470.08
3273,#N/A,2508302.11,3355948.1
3193,#N/A,2506839.37,3352555.84
4227,SEVERE STORMS AND FLOODING,2505952.16,3319101.63
1913,SEVERE STORMS AND FLOODING,2489369.98,3318327.27
4036,HURRICANE IRENE,2466820.86,3289094.43
3250,#N/A,2455669.23,2455669.23
4306,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,2453757.83,3245241.42
4190,SEVERE STORMS AND FLOODING,2416454.54,3196415.33
3242,#N/A,2391612.96,2391612.96
4270,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",2380047.69,3127335.48
3156,#N/A,2362985.16,3150646.85
3204,#N/A,2336426.86,3131412.37
3109,#N/A,2335368.38,3111990.84
3222,#N/A,2309589.51,2309589.51
1756," SEVERE STORMS, TORNADOES, AND FLOODING",2229174.06,2852298.38
1856,SEVERE STORMS AND FLOODING,2203358.38,2923462.85
3190,#N/A,2193062.41,2924082.92
3177,#N/A,2174685.13,2899579.96
1945,"SEVERE STORMS, FLOODING, TORNADO, AND STRAIGHT-LIN",2138551.99,2848751.18
3223,#N/A,2130453.48,2130453.48
4095,HURRICANE SANDY,2113605.92,2816689.75
3238,#N/A,2064487.65,2064487.65
3272,#N/A,2046135.73,2727771.32
4037,HURRICANE IRENE,2036745.61,2724205.06
3225,#N/A,1997714.13,1997714.13
4032,TROPICAL STORM IRENE,1995886.96,2660725.74
3211,#N/A,1976348.23,2645732.06
3231,#N/A,1943004.84,1943004.84
3148,#N/A,1936383.16,2581844.18
4172,ICE JAMS AND FLOODING,1925935.2,2566280.8
4120,SEVERE STORMS AND FLOODING,1914682.79,2538237.5
3182,#N/A,1904429.78,2546416.25
1914,SEVERE WINTER STORM,1862942.69,2481773.66
3226,#N/A,1856421.47,1856421.47
1949,"SEVERE STORMS, FLOODING, ROCKSLIDES, AND MUDSLIDES ASSOC. WITH TS TOMAS",1840022.3,2438818.93
4178,SEVERE STORMS AND FLOODING,1824522.67,2420189.19
3133,#N/A,1808220.57,1808220.57
3094,#N/A,1804216.81,2405622.4
1962,SEVERE WINTER STORM AND EXTREME COLD TEMPERATURES,1801838.12,2386406.61
3106,#N/A,1769069.36,2358759.11
1992,ICE JAM AND FLOODING,1756346.8,2320419.34
3232,#N/A,1751641.33,1751641.33
3104,#N/A,1721295.18,2295060
4271,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,1696751.24,2258061.28
3178,#N/A,1689558.96,2252745.28
4316,SEVERE WINTER STORM ,1687439.45,2195364.99
3227,#N/A,1674681.06,1674681.06
1781,FLOODING,1655156.5,2186270.28
4088,SEVERE STORM AND FLOODING,1653796.77,2188722.27
3366,CHEMICAL SPILL,1639099.39,2178019.05
4198,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",1617821.78,2172534.04
3202,#N/A,1609654.81,2151346.81
4104,SEVERE FREEZE,1602599.04,2132018.96
1953,SEVERE STORMS AND FLOODING,1600455.83,2132821.46
1806,HURRICANE GUSTAV,1558746.17,1833112.87
1951,SEVERE STORM,1555019.55,2063957.7
3187,#N/A,1515831.84,2029514.24
4265,SEVERE WINTER STORM AND SNOWSTORM,1514989.83,2013751.87
3251,#N/A,1502419.68,1502419.68
4321,SEVERE WINTER STORM AND STRAIGHT-LINE WINDS,1426153.15,1894113.07
3123,#N/A,1423529.85,1898039.81
3205,#N/A,1418363.94,1891151.8
3188,#N/A,1405110.62,1874864.12
4341,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA,1344412.25,1578161.84
4054,SEVERE STORM,1340817.62,1772608.1
1816,SEVERE WINTER STORM,1337879.37,1781638.39
4333,"FLOODING, LANDSLIDES, AND MUDSLIDES",1335595.46,1771390.24
1742,"SEVERE STORMS, TORNADOES, AND FLOODING",1334506.76,1773780.98
4112,SNOWSTORM,1320792.96,1751077.71
3328,HURRICANE IRENE,1313887.82,1751850.39
4074,WILDFIRE,1297026.84,1729143.74
1782,"SEVERE STORMS, TORNADO, AND FLOODING",1269313.62,1692123.61
1920,SEVERE STORMS AND FLOODING,1258988.51,1679983.72
3271,#N/A,1251920.82,1669227.65
3103,#N/A,1241890.71,1655854.14
3167,#N/A,1232341.68,1643122
4232,SEVERE STORM AND FLOODING,1227207.07,1619435.41
3210,#N/A,1225558.57,1634077.89
4342,FLOODING,1225206.07,1623544.07
4006,SEVERE STORMS AND FLOODING,1218835.96,1623853.02
4125,"SEVERE STORMS, TORNADO, AND FLOODING",1215685.33,1610053.18
3243,#N/A,1195964.49,1195964.49
3249,#N/A,1188027.32,1188027.32
4137,"SEVERE STORMS, TORNADOES, AND FLOODING ",1159221.44,1499223.11
4206,"SEVERE STORMS, FLOODING, AND MUDSLIDES",1150252.87,1274597.85
3194,#N/A,1144936.63,1526582.01
4161,FLOODING,1144274.52,1526689
1738,SEVERE WINTER STORMS AND FLOODING,1112379.14,1469661.8
1778,SEVERE STORMS AND FLOODING,1086864.23,1447177.59
1947,SEVERE STORMS AND FLOODING,1079972.79,1434824.05
3255,#N/A,1062451.26,1062451.26
3208,#N/A,1040849.58,1395131.77
1814,SEVERE STORMS AND FLOODING,1022244.18,1318611.87
4066,"SEVERE STORM, TORNADO, AND FLOODING",1017761.39,1349637.47
3139,#N/A,1012733.25,1350311
1948,"SEVERE STORMS, FLOODING, MUDSLIDES, AND LANDSLIDES",1001309.8,1320336.98
3229,#N/A,992891.56,992891.56
3293,HURRICANE IKE,957955.64,1266625.61
3248,#N/A,947486.85,947486.85
4043,SEVERE STORMS AND FLOODING,946367.37,1260333.88
3336,HURRICANE IRENE,916843.53,1239112.89
3228,#N/A,901337.36,901337.36
4330,SEVERE STORMS AND FLOODING,899091.31,1188695.71
1886,SEVERE WINTER STORM AND SNOWSTORM,874502.99,1161740.73
3199,#N/A,829604.88,1109181.73
1799,SEVERE STORMS AND FLOODING,823848.76,1098410.13
3326,HURRICANE IRENE,781030.88,1041963.45
4356,SEVERE STORM AND FLOODING,757099.2,1001708.2
4362,SEVERE STORMS AND TORNADOES,755420.82,1007227.76
3315,HURRICANE EARL,741694.21,988387.45
3221,#N/A,732192.47,732192.47
1820,SEVERE STORMS AND TORNADOES,729454.15,964746.81
3392,TROPICAL STORM NATE,703154.03,932663.7
3118,#N/A,693655.5,924874
1929,"SEVERE STORMS, TORNADOES, AND FLOODING",666648.61,886896.75
4192,"SEVERE STORMS, FLOODING, AND LANDSLIDES",665370.98,882929.29
3360,HURRICANE SANDY,644300.52,861444
3246,#N/A,639498.33,639498.33
3292,HURRICANE GUSTAV,611711.02,808259.36
3101,#N/A,606928.12,809237.21
4191,TROPICAL STORM HALONG,600827.06,794629.71
3111,#N/A,589383.07,785844.03
3389,HURRICANE IRMA,585571.92,773758.84
4329,SEVERE STORMS AND FLOODING,576670.54,755913.36
1950,SEVERE STORMS AND FLOODING,574530.98,638367.76
3264,#N/A,562330.97,749832.05
3294,HURRICANE IKE,562028.74,709019.31
3333,#N/A,550618.32,733974.33
3304,SEVERE STORMS AND FLOODING,544794.58,726392.77
3265,#N/A,533910.78,711880.98
3099,#N/A,517125.42,689500.42
4347,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",516277.23,675844.96
3150,#N/A,515513.7,687351.56
1765,"SEVERE STORMS, TORNADOES, AND FLOODING",499319.42,663361.3
4354,SEVERE STORM AND FLOODING,499274.77,656130.21
3340,REMNANTS OF TROPICAL STORM LEE,495306.49,660408.6
3108,#N/A,473556.8,631409.05
3314,HURRICANE EARL,455369.3,601585
4357,TROPICAL STORM GITA,451835.22,602446.95
1784,"SEVERE STORMS, A TORNADO, AND FLOODING",449482.54,597800.07
4142,WILDFIRE,444517.27,592689.69
4349,HURRICANE NATE,430014.52,536328.96
3305,RECORD SNOW AND NEAR RECORD SNOW,397944.96,526258.39
3174,#N/A,392704.87,523606.43
3172,#N/A,392251.76,392251.76
3245,#N/A,376579.46,376579.46
3291,HURRICANE GUSTAV,356530.38,471235.16
3257,#N/A,344943.26,344943.26
3196,#N/A,300499.86,402674.92
3126,#N/A,282868.95,377158.6
4312,FLOODING,269934.77,299927.52
3240,#N/A,264113.42,264113.42
4123,SEVERE STORMS AND FLOODING,239920.61,316435.45
3239,#N/A,232383.23,232383.23
4348,FLOODING,216057.01,288076
3234,#N/A,208997.24,208997.24
3244,#N/A,204799.08,204799.08
4133,ROYAL GORGE FIRE,173358.39,229634.06
4351,SEVERE STORM,165352.5,220470
3102,#N/A,157290.74,209720.95
3236,#N/A,154988.79,154988.79
3253,#N/A,114693.39,114693.39
3263,#N/A,89661.81,89661.81
3080,#N/A,83000,83000
3329,HURRICANE IRENE,74241.71,103307.91
3276,#N/A,73991.65,98655.53
4355,SEVERE STORM AND FLOODING,72739.02,96985.36
4147,SEVERE STORMS AND FLOODING,72568.6,95990.8
3256,#N/A,48332.97,48332.97
3342,SEVERE STORM,28257.8,37027.06
3247,#N/A,22842.18,22842.18
3358,HURRICANE SANDY,19645.54,26194.06
3320,FLOODING,16250.69,21667.58
3395,HURRICANE NATE,10224.63,13632.84
3258,#N/A,9319.83,9319.83
3341,REMNANTS OF TROPICAL STORM LEE,3194.36,4259.15
